=== [husky_encode10] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_0 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_0 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_0 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_1 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_1 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_1 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_1 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_2 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_2 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_2 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_2 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_3 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_3 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_3 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_3 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_4 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_4 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_4 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_4 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_5 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_5 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_5 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_5 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_6 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_6 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_6 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_6 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_7 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_7 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_7 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_7 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_8 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_8 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_8 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_8 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_9 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_9 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_9 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_9 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_10 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_10 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_10 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_10 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_11 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_11 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_11 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_11 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_12 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_12 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_12 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_12 1080p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_13 360p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_13 480p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_13 720p: CRF=29, maxrate=2033999.9999999984
[AI인코딩] segment_13 1080p: CRF=29, maxrate=2033999.9999999984
