=== [husky] 영상 인코딩 시작 ====== [husky] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 480p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 720p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 1080p: CRF=31, maxrate=2296000.000000001
=== [husky] 영상 인코딩 시작 ====== [husky] 영상 인코딩 시작 ====== [husky] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 480p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 720p: CRF=31, maxrate=2296000.000000001
=== [husky] 영상 인코딩 시작 ====== [husky] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=28, maxrate=2305999.999999997
[AI인코딩] segment_0 480p: CRF=28, maxrate=2305999.999999997
[AI인코딩] segment_0 720p: CRF=28, maxrate=2305999.999999997
[AI인코딩] segment_0 1080p: CRF=28, maxrate=2305999.999999997
[AI인코딩] segment_1 360p: CRF=29, maxrate=2856999.999999997
[AI인코딩] segment_1 480p: CRF=29, maxrate=2856999.999999997
[AI인코딩] segment_1 720p: CRF=29, maxrate=2856999.999999997
[AI인코딩] segment_1 1080p: CRF=29, maxrate=2856999.999999997
[AI인코딩] segment_2 360p: CRF=28, maxrate=1827999.9999999984
[AI인코딩] segment_2 480p: CRF=28, maxrate=1827999.9999999984
[AI인코딩] segment_2 720p: CRF=28, maxrate=1827999.9999999984
[AI인코딩] segment_2 1080p: CRF=28, maxrate=1827999.9999999984
[AI인코딩] segment_3 360p: CRF=28, maxrate=1976999.999999998
[AI인코딩] segment_3 480p: CRF=28, maxrate=1976999.999999998
[AI인코딩] segment_3 720p: CRF=28, maxrate=1976999.999999998
[AI인코딩] segment_3 1080p: CRF=28, maxrate=1976999.999999998
[AI인코딩] segment_4 360p: CRF=26, maxrate=3692999.999999998
[AI인코딩] segment_4 480p: CRF=26, maxrate=3692999.999999998
[AI인코딩] segment_4 720p: CRF=26, maxrate=3692999.999999998
[AI인코딩] segment_4 1080p: CRF=26, maxrate=3692999.999999998
[AI인코딩] segment_5 360p: CRF=27, maxrate=2806999.9999999977
[AI인코딩] segment_5 480p: CRF=27, maxrate=2806999.9999999977
[AI인코딩] segment_5 720p: CRF=27, maxrate=2806999.9999999977
[AI인코딩] segment_5 1080p: CRF=27, maxrate=2806999.9999999977
[AI인코딩] segment_6 360p: CRF=29, maxrate=2560999.999999998
[AI인코딩] segment_6 480p: CRF=29, maxrate=2560999.999999998
[AI인코딩] segment_6 720p: CRF=29, maxrate=2560999.999999998
[AI인코딩] segment_6 1080p: CRF=29, maxrate=2560999.999999998
[AI인코딩] segment_7 360p: CRF=28, maxrate=4072999.999999997
[AI인코딩] segment_7 480p: CRF=28, maxrate=4072999.999999997
[AI인코딩] segment_7 720p: CRF=28, maxrate=4072999.999999997
[AI인코딩] segment_7 1080p: CRF=28, maxrate=4072999.999999997
[AI인코딩] segment_8 360p: CRF=27, maxrate=3072999.999999998
[AI인코딩] segment_8 480p: CRF=27, maxrate=3072999.999999998
[AI인코딩] segment_8 720p: CRF=27, maxrate=3072999.999999998
[AI인코딩] segment_8 1080p: CRF=27, maxrate=3072999.999999998
[AI인코딩] segment_9 360p: CRF=28, maxrate=3291999.9999999986
[AI인코딩] segment_9 480p: CRF=28, maxrate=3291999.9999999986
[AI인코딩] segment_9 720p: CRF=28, maxrate=3291999.9999999986
[AI인코딩] segment_9 1080p: CRF=28, maxrate=3291999.9999999986
[AI인코딩] segment_10 360p: CRF=29, maxrate=2024999.9999999986
[AI인코딩] segment_10 480p: CRF=29, maxrate=2024999.9999999986
[AI인코딩] segment_10 720p: CRF=29, maxrate=2024999.9999999986
[AI인코딩] segment_10 1080p: CRF=29, maxrate=2024999.9999999986
[AI인코딩] segment_11 360p: CRF=27, maxrate=2098999.9999999977
[AI인코딩] segment_11 480p: CRF=27, maxrate=2098999.9999999977
[AI인코딩] segment_11 720p: CRF=27, maxrate=2098999.9999999977
[AI인코딩] segment_11 1080p: CRF=27, maxrate=2098999.9999999977
[AI인코딩] segment_12 360p: CRF=28, maxrate=730999.9999999998
[AI인코딩] segment_12 480p: CRF=28, maxrate=730999.9999999998
[AI인코딩] segment_12 720p: CRF=28, maxrate=730999.9999999998
[AI인코딩] segment_12 1080p: CRF=28, maxrate=730999.9999999998
[AI인코딩] segment_13 360p: CRF=26, maxrate=4278000.000000001
[AI인코딩] segment_13 480p: CRF=26, maxrate=4278000.000000001
[AI인코딩] segment_13 720p: CRF=26, maxrate=4278000.000000001
[AI인코딩] segment_13 1080p: CRF=26, maxrate=4278000.000000001
=== [news] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=24, maxrate=4689000.0
[AI인코딩] segment_0 480p: CRF=24, maxrate=4689000.0
[AI인코딩] segment_0 720p: CRF=24, maxrate=4689000.0
[AI인코딩] segment_0 1080p: CRF=24, maxrate=4689000.0
[AI인코딩] segment_1 360p: CRF=25, maxrate=3766999.999999998
[AI인코딩] segment_1 480p: CRF=25, maxrate=3766999.999999998
[AI인코딩] segment_1 720p: CRF=25, maxrate=3766999.999999998
[AI인코딩] segment_1 1080p: CRF=25, maxrate=3766999.999999998
[AI인코딩] segment_2 360p: CRF=24, maxrate=4323999.999999999
[AI인코딩] segment_2 480p: CRF=24, maxrate=4323999.999999999
[AI인코딩] segment_2 720p: CRF=24, maxrate=4323999.999999999
[AI인코딩] segment_2 1080p: CRF=24, maxrate=4323999.999999999
[AI인코딩] segment_3 360p: CRF=24, maxrate=3904999.9999999977
[AI인코딩] segment_3 480p: CRF=24, maxrate=3904999.9999999977
[AI인코딩] segment_3 720p: CRF=24, maxrate=3904999.9999999977
[AI인코딩] segment_3 1080p: CRF=24, maxrate=3904999.9999999977
[AI인코딩] segment_4 360p: CRF=24, maxrate=4011999.9999999977
[AI인코딩] segment_4 480p: CRF=24, maxrate=4011999.9999999977
[AI인코딩] segment_4 720p: CRF=24, maxrate=4011999.9999999977
[AI인코딩] segment_4 1080p: CRF=24, maxrate=4011999.9999999977
[AI인코딩] segment_5 360p: CRF=24, maxrate=4142999.999999998
[AI인코딩] segment_5 480p: CRF=24, maxrate=4142999.999999998
[AI인코딩] segment_5 720p: CRF=24, maxrate=4142999.999999998
[AI인코딩] segment_5 1080p: CRF=24, maxrate=4142999.999999998
[AI인코딩] segment_6 360p: CRF=24, maxrate=3860999.999999998
[AI인코딩] segment_6 480p: CRF=24, maxrate=3860999.999999998
[AI인코딩] segment_6 720p: CRF=24, maxrate=3860999.999999998
[AI인코딩] segment_6 1080p: CRF=24, maxrate=3860999.999999998
[AI인코딩] segment_7 360p: CRF=24, maxrate=3964999.999999998
[AI인코딩] segment_7 480p: CRF=24, maxrate=3964999.999999998
[AI인코딩] segment_7 720p: CRF=24, maxrate=3964999.999999998
[AI인코딩] segment_7 1080p: CRF=24, maxrate=3964999.999999998
[AI인코딩] segment_8 360p: CRF=24, maxrate=3940999.9999999977
[AI인코딩] segment_8 480p: CRF=24, maxrate=3940999.9999999977
[AI인코딩] segment_8 720p: CRF=24, maxrate=3940999.9999999977
[AI인코딩] segment_8 1080p: CRF=24, maxrate=3940999.9999999977
[AI인코딩] segment_9 360p: CRF=24, maxrate=4098999.9999999986
[AI인코딩] segment_9 480p: CRF=24, maxrate=4098999.9999999986
[AI인코딩] segment_9 720p: CRF=24, maxrate=4098999.9999999986
[AI인코딩] segment_9 1080p: CRF=24, maxrate=4098999.9999999986
[AI인코딩] segment_10 360p: CRF=24, maxrate=3930999.9999999977
[AI인코딩] segment_10 480p: CRF=24, maxrate=3930999.9999999977
