=== [husky] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 480p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 720p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_0 1080p: CRF=31, maxrate=2296000.000000001
[AI인코딩] segment_1 360p: CRF=31, maxrate=2690999.9999999977
[AI인코딩] segment_1 480p: CRF=31, maxrate=2690999.9999999977
[AI인코딩] segment_1 720p: CRF=31, maxrate=2690999.9999999977
[AI인코딩] segment_1 1080p: CRF=31, maxrate=2690999.9999999977
[AI인코딩] segment_2 360p: CRF=31, maxrate=1788000.0
[AI인코딩] segment_2 480p: CRF=31, maxrate=1788000.0
[AI인코딩] segment_2 720p: CRF=31, maxrate=1788000.0
[AI인코딩] segment_2 1080p: CRF=31, maxrate=1788000.0
[AI인코딩] segment_3 360p: CRF=31, maxrate=1694000.0000000005
[AI인코딩] segment_3 480p: CRF=31, maxrate=1694000.0000000005
[AI인코딩] segment_3 720p: CRF=31, maxrate=1694000.0000000005
[AI인코딩] segment_3 1080p: CRF=31, maxrate=1694000.0000000005
[AI인코딩] segment_4 360p: CRF=31, maxrate=1469000.0000000002
[AI인코딩] segment_4 480p: CRF=31, maxrate=1469000.0000000002
[AI인코딩] segment_4 720p: CRF=31, maxrate=1469000.0000000002
[AI인코딩] segment_4 1080p: CRF=31, maxrate=1469000.0000000002
[AI인코딩] segment_5 360p: CRF=31, maxrate=2359000.000000001
[AI인코딩] segment_5 480p: CRF=31, maxrate=2359000.000000001
[AI인코딩] segment_5 720p: CRF=31, maxrate=2359000.000000001
[AI인코딩] segment_5 1080p: CRF=31, maxrate=2359000.000000001
[AI인코딩] segment_6 360p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_6 480p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_6 720p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_6 1080p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_7 360p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_7 480p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_7 720p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_7 1080p: CRF=31, maxrate=2507999.999999999
[AI인코딩] segment_8 360p: CRF=31, maxrate=2315000.000000001
[AI인코딩] segment_8 480p: CRF=31, maxrate=2315000.000000001
[AI인코딩] segment_8 720p: CRF=31, maxrate=2315000.000000001
[AI인코딩] segment_8 1080p: CRF=31, maxrate=2315000.000000001
[AI인코딩] segment_9 360p: CRF=31, maxrate=1589000.0000000005
[AI인코딩] segment_9 480p: CRF=31, maxrate=1589000.0000000005
[AI인코딩] segment_9 720p: CRF=31, maxrate=1589000.0000000005
[AI인코딩] segment_9 1080p: CRF=31, maxrate=1589000.0000000005
[AI인코딩] segment_10 360p: CRF=31, maxrate=2415000.0
[AI인코딩] segment_10 480p: CRF=31, maxrate=2415000.0
[AI인코딩] segment_10 720p: CRF=31, maxrate=2415000.0
[AI인코딩] segment_10 1080p: CRF=31, maxrate=2415000.0
[AI인코딩] segment_11 360p: CRF=31, maxrate=1626000.0000000007
[AI인코딩] segment_11 480p: CRF=31, maxrate=1626000.0000000007
[AI인코딩] segment_11 720p: CRF=31, maxrate=1626000.0000000007
[AI인코딩] segment_11 1080p: CRF=31, maxrate=1626000.0000000007
[AI인코딩] segment_12 360p: CRF=30, maxrate=863000.0
[AI인코딩] segment_12 480p: CRF=30, maxrate=863000.0
[AI인코딩] segment_12 720p: CRF=30, maxrate=863000.0
[AI인코딩] segment_12 1080p: CRF=30, maxrate=863000.0
[AI인코딩] segment_13 360p: CRF=29, maxrate=6660000.0
[AI인코딩] segment_13 480p: CRF=29, maxrate=6660000.0
[AI인코딩] segment_13 720p: CRF=29, maxrate=6660000.0
[AI인코딩] segment_13 1080p: CRF=29, maxrate=6660000.0
=== [lol] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=29, maxrate=862999.9999999998
[AI인코딩] segment_0 480p: CRF=29, maxrate=862999.9999999998
[AI인코딩] segment_0 720p: CRF=29, maxrate=862999.9999999998
[AI인코딩] segment_0 1080p: CRF=29, maxrate=862999.9999999998
[AI인코딩] segment_1 360p: CRF=27, maxrate=932999.9999999999
[AI인코딩] segment_1 480p: CRF=27, maxrate=932999.9999999999
[AI인코딩] segment_1 720p: CRF=27, maxrate=932999.9999999999
[AI인코딩] segment_1 1080p: CRF=27, maxrate=932999.9999999999
[AI인코딩] segment_2 360p: CRF=27, maxrate=903999.9999999998
[AI인코딩] segment_2 480p: CRF=27, maxrate=903999.9999999998
[AI인코딩] segment_2 720p: CRF=27, maxrate=903999.9999999998
[AI인코딩] segment_2 1080p: CRF=27, maxrate=903999.9999999998
[AI인코딩] segment_3 360p: CRF=28, maxrate=954999.9999999998
[AI인코딩] segment_3 480p: CRF=28, maxrate=954999.9999999998
[AI인코딩] segment_3 720p: CRF=28, maxrate=954999.9999999998
[AI인코딩] segment_3 1080p: CRF=28, maxrate=954999.9999999998
[AI인코딩] segment_4 360p: CRF=27, maxrate=930000.0
[AI인코딩] segment_4 480p: CRF=27, maxrate=930000.0
[AI인코딩] segment_4 720p: CRF=27, maxrate=930000.0
[AI인코딩] segment_4 1080p: CRF=27, maxrate=930000.0
[AI인코딩] segment_5 360p: CRF=28, maxrate=1011999.9999999995
[AI인코딩] segment_5 480p: CRF=28, maxrate=1011999.9999999995
[AI인코딩] segment_5 720p: CRF=28, maxrate=1011999.9999999995
[AI인코딩] segment_5 1080p: CRF=28, maxrate=1011999.9999999995
[AI인코딩] segment_6 360p: CRF=27, maxrate=926000.0
[AI인코딩] segment_6 480p: CRF=27, maxrate=926000.0
[AI인코딩] segment_6 720p: CRF=27, maxrate=926000.0
[AI인코딩] segment_6 1080p: CRF=27, maxrate=926000.0
[AI인코딩] segment_7 360p: CRF=27, maxrate=985999.9999999998
[AI인코딩] segment_7 480p: CRF=27, maxrate=985999.9999999998
[AI인코딩] segment_7 720p: CRF=27, maxrate=985999.9999999998
[AI인코딩] segment_7 1080p: CRF=27, maxrate=985999.9999999998
[AI인코딩] segment_8 360p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_8 480p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_8 720p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_8 1080p: CRF=28, maxrate=1043999.9999999998
[AI인코딩] segment_9 360p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 480p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 720p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_9 1080p: CRF=27, maxrate=1414000.0
[AI인코딩] segment_10 360p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 480p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 720p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_10 1080p: CRF=29, maxrate=915999.9999999999
[AI인코딩] segment_11 360p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 480p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 720p: CRF=27, maxrate=930000.0
[AI인코딩] segment_11 1080p: CRF=27, maxrate=930000.0
[AI인코딩] segment_12 360p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 480p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 720p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_12 1080p: CRF=28, maxrate=885999.9999999998
[AI인코딩] segment_13 360p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_13 480p: CRF=28, maxrate=920999.9999999998
[AI인코딩] segment_13 720p: CRF=28, maxrate=920999.9999999998
