segment_name,time_second,bitrate_kbps,resolution
ai_seg_1_1080p.mp4,0,1386.38,1080p
ai_seg_1_1080p.mp4,0,2325.72,1080p
ai_seg_1_360p.mp4,0,217.37,360p
ai_seg_1_360p.mp4,0,401.75,360p
ai_seg_1_480p.mp4,0,378.97,480p
ai_seg_1_480p.mp4,0,633.3,480p
ai_seg_1_720p.mp4,0,708.13,720p
ai_seg_1_720p.mp4,0,1129.26,720p
ai_seg_1_1080p.mp4,1,1427.85,1080p
ai_seg_1_1080p.mp4,1,2246.47,1080p
ai_seg_1_360p.mp4,1,231.77,360p
ai_seg_1_360p.mp4,1,420.78,360p
ai_seg_1_480p.mp4,1,358.65,480p
ai_seg_1_480p.mp4,1,632.35,480p
ai_seg_1_720p.mp4,1,684.78,720p
ai_seg_1_720p.mp4,1,1162.1,720p
ai_seg_2_1080p.mp4,0,1569.18,1080p
ai_seg_2_1080p.mp4,0,2861.76,1080p
ai_seg_2_360p.mp4,0,334.82,360p
ai_seg_2_360p.mp4,0,483.17,360p
ai_seg_2_480p.mp4,0,488.27,480p
ai_seg_2_480p.mp4,0,797.11,480p
ai_seg_2_720p.mp4,0,849.67,720p
ai_seg_2_720p.mp4,0,1561.06,720p
ai_seg_2_1080p.mp4,1,1526.65,1080p
ai_seg_2_1080p.mp4,1,2618.29,1080p
ai_seg_2_360p.mp4,1,292.48,360p
ai_seg_2_360p.mp4,1,325.59,360p
ai_seg_2_480p.mp4,1,448.4,480p
ai_seg_2_480p.mp4,1,619.0,480p
ai_seg_2_720p.mp4,1,806.5,720p
ai_seg_2_720p.mp4,1,1414.64,720p
ai_seg_3_1080p.mp4,0,1206.7,1080p
ai_seg_3_1080p.mp4,0,2264.02,1080p
ai_seg_3_360p.mp4,0,226.47,360p
ai_seg_3_360p.mp4,0,392.86,360p
ai_seg_3_480p.mp4,0,341.06,480p
ai_seg_3_480p.mp4,0,642.4,480p
ai_seg_3_720p.mp4,0,619.77,720p
ai_seg_3_720p.mp4,0,1216.21,720p
ai_seg_3_1080p.mp4,1,970.56,1080p
ai_seg_3_1080p.mp4,1,1885.3,1080p
ai_seg_3_360p.mp4,1,149.82,360p
ai_seg_3_360p.mp4,1,275.3,360p
ai_seg_3_480p.mp4,1,245.22,480p
ai_seg_3_480p.mp4,1,470.59,480p
ai_seg_3_720p.mp4,1,464.67,720p
ai_seg_3_720p.mp4,1,957.85,720p
ai_seg_4_1080p.mp4,0,830.32,1080p
ai_seg_4_1080p.mp4,0,2122.38,1080p
ai_seg_4_360p.mp4,0,136.38,360p
ai_seg_4_360p.mp4,0,350.8,360p
ai_seg_4_480p.mp4,0,213.77,480p
ai_seg_4_480p.mp4,0,558.53,480p
ai_seg_4_720p.mp4,0,402.32,720p
ai_seg_4_720p.mp4,0,1128.82,720p
ai_seg_4_1080p.mp4,1,1467.44,1080p
