segment_name,time_second,bitrate_kbps,resolution
ai_seg_1_1080p.mp4,0,2285.06,1080p
ai_seg_1_360p.mp4,0,508.36,360p
ai_seg_1_480p.mp4,0,763.12,480p
ai_seg_1_720p.mp4,0,1412.5,720p
ai_seg_1_1080p.mp4,1,2054.22,1080p
ai_seg_1_360p.mp4,1,382.66,360p
ai_seg_1_480p.mp4,1,591.49,480p
ai_seg_1_720p.mp4,1,1155.16,720p
ai_seg_2_1080p.mp4,0,2898.94,1080p
ai_seg_2_360p.mp4,0,569.02,360p
ai_seg_2_480p.mp4,0,881.55,480p
ai_seg_2_720p.mp4,0,1776.7,720p
ai_seg_2_1080p.mp4,1,2135.6,1080p
ai_seg_2_360p.mp4,1,383.34,360p
ai_seg_2_480p.mp4,1,606.16,480p
ai_seg_2_720p.mp4,1,1155.81,720p
ai_seg_3_1080p.mp4,0,2230.38,1080p
ai_seg_3_360p.mp4,0,518.46,360p
ai_seg_3_480p.mp4,0,726.93,480p
ai_seg_3_720p.mp4,0,1332.94,720p
ai_seg_3_1080p.mp4,1,2627.78,1080p
ai_seg_3_360p.mp4,1,426.61,360p
ai_seg_3_480p.mp4,1,740.53,480p
ai_seg_3_720p.mp4,1,1448.4,720p
ai_seg_4_1080p.mp4,0,2777.94,1080p
ai_seg_4_360p.mp4,0,526.94,360p
ai_seg_4_480p.mp4,0,849.9,480p
ai_seg_4_720p.mp4,0,1711.82,720p
ai_seg_4_1080p.mp4,1,2555.97,1080p
ai_seg_4_360p.mp4,1,443.48,360p
ai_seg_4_480p.mp4,1,699.24,480p
ai_seg_4_720p.mp4,1,1406.86,720p
ai_seg_5_1080p.mp4,0,3421.46,1080p
ai_seg_5_360p.mp4,0,684.07,360p
ai_seg_5_480p.mp4,0,1094.84,480p
ai_seg_5_720p.mp4,0,2037.3,720p
ai_seg_5_1080p.mp4,1,2483.1,1080p
ai_seg_5_360p.mp4,1,440.9,360p
ai_seg_5_480p.mp4,1,710.91,480p
ai_seg_5_720p.mp4,1,1347.56,720p
ai_seg_6_1080p.mp4,0,3197.06,1080p
ai_seg_6_360p.mp4,0,605.5,360p
ai_seg_6_480p.mp4,0,992.3,480p
ai_seg_6_720p.mp4,0,1902.98,720p
ai_seg_6_1080p.mp4,1,2842.74,1080p
ai_seg_6_360p.mp4,1,472.32,360p
ai_seg_6_480p.mp4,1,826.75,480p
ai_seg_6_720p.mp4,1,1541.04,720p
ai_seg_7_1080p.mp4,0,2630.91,1080p
ai_seg_7_360p.mp4,0,506.68,360p
ai_seg_7_480p.mp4,0,787.08,480p
ai_seg_7_720p.mp4,0,1665.58,720p
ai_seg_7_1080p.mp4,1,2609.0,1080p
ai_seg_7_360p.mp4,1,405.09,360p
ai_seg_7_480p.mp4,1,700.43,480p
ai_seg_7_720p.mp4,1,1450.1,720p
ai_seg_8_1080p.mp4,0,2714.45,1080p
ai_seg_8_360p.mp4,0,539.26,360p
ai_seg_8_480p.mp4,0,840.97,480p
ai_seg_8_720p.mp4,0,1697.42,720p
ai_seg_8_1080p.mp4,1,2134.17,1080p
ai_seg_8_360p.mp4,1,329.17,360p
ai_seg_8_480p.mp4,1,543.54,480p
ai_seg_8_720p.mp4,1,1229.09,720p
ai_seg_9_1080p.mp4,0,3028.12,1080p
ai_seg_9_360p.mp4,0,578.83,360p
ai_seg_9_480p.mp4,0,932.72,480p
ai_seg_9_720p.mp4,0,1834.94,720p
ai_seg_9_1080p.mp4,1,2528.53,1080p
ai_seg_9_360p.mp4,1,449.55,360p
ai_seg_9_480p.mp4,1,714.74,480p
ai_seg_9_720p.mp4,1,1439.18,720p
ai_seg_10_1080p.mp4,0,1719.97,1080p
ai_seg_10_360p.mp4,0,420.16,360p
ai_seg_10_480p.mp4,0,585.02,480p
ai_seg_10_720p.mp4,0,1023.2,720p
ai_seg_10_1080p.mp4,1,1335.71,1080p
ai_seg_10_360p.mp4,1,242.33,360p
ai_seg_10_480p.mp4,1,374.62,480p
ai_seg_10_720p.mp4,1,722.62,720p
ai_seg_11_1080p.mp4,0,3535.81,1080p
ai_seg_11_360p.mp4,0,550.58,360p
ai_seg_11_480p.mp4,0,876.62,480p
ai_seg_11_720p.mp4,0,2036.79,720p
ai_seg_11_1080p.mp4,1,1939.5,1080p
ai_seg_11_360p.mp4,1,300.5,360p
ai_seg_11_480p.mp4,1,484.11,480p
ai_seg_11_720p.mp4,1,1072.08,720p
ai_seg_12_1080p.mp4,0,2807.94,1080p
ai_seg_12_360p.mp4,0,577.82,360p
ai_seg_12_480p.mp4,0,926.09,480p
ai_seg_12_720p.mp4,0,1687.55,720p
ai_seg_12_1080p.mp4,1,1975.15,1080p
ai_seg_12_360p.mp4,1,332.03,360p
ai_seg_12_480p.mp4,1,550.94,480p
ai_seg_12_720p.mp4,1,1029.03,720p
ai_seg_13_1080p.mp4,0,2077.25,1080p
ai_seg_13_360p.mp4,0,461.09,360p
ai_seg_13_480p.mp4,0,693.13,480p
ai_seg_13_720p.mp4,0,1233.05,720p
ai_seg_13_1080p.mp4,1,2058.83,1080p
ai_seg_13_360p.mp4,1,346.68,360p
ai_seg_13_480p.mp4,1,579.26,480p
ai_seg_13_720p.mp4,1,1080.85,720p
ai_seg_14_1080p.mp4,0,2514.89,1080p
ai_seg_14_360p.mp4,0,520.3,360p
ai_seg_14_480p.mp4,0,801.58,480p
ai_seg_14_720p.mp4,0,1403.01,720p
ai_seg_14_1080p.mp4,1,2535.5,1080p
ai_seg_14_360p.mp4,1,498.5,360p
ai_seg_14_480p.mp4,1,771.66,480p
ai_seg_14_720p.mp4,1,1403.12,720p
ai_seg_15_1080p.mp4,0,2104.94,1080p
ai_seg_15_360p.mp4,0,446.82,360p
ai_seg_15_480p.mp4,0,662.94,480p
ai_seg_15_720p.mp4,0,1203.22,720p
ai_seg_15_1080p.mp4,1,1949.98,1080p
ai_seg_15_360p.mp4,1,345.1,360p
ai_seg_15_480p.mp4,1,545.26,480p
ai_seg_15_720p.mp4,1,1061.78,720p
ai_seg_16_1080p.mp4,0,2526.66,1080p
ai_seg_16_360p.mp4,0,521.05,360p
ai_seg_16_480p.mp4,0,792.03,480p
ai_seg_16_720p.mp4,0,1456.81,720p
ai_seg_16_1080p.mp4,1,1870.95,1080p
ai_seg_16_360p.mp4,1,327.17,360p
ai_seg_16_480p.mp4,1,521.1,480p
ai_seg_16_720p.mp4,1,1008.54,720p
ai_seg_17_1080p.mp4,0,2615.11,1080p
ai_seg_17_360p.mp4,0,522.23,360p
ai_seg_17_480p.mp4,0,787.0,480p
ai_seg_17_720p.mp4,0,1586.71,720p
ai_seg_17_1080p.mp4,1,2516.6,1080p
ai_seg_17_360p.mp4,1,419.73,360p
ai_seg_17_480p.mp4,1,654.5,480p
ai_seg_17_720p.mp4,1,1341.92,720p
ai_seg_18_1080p.mp4,0,2716.83,1080p
ai_seg_18_360p.mp4,0,518.96,360p
ai_seg_18_480p.mp4,0,794.5,480p
ai_seg_18_720p.mp4,0,1663.03,720p
ai_seg_18_1080p.mp4,1,2147.92,1080p
ai_seg_18_360p.mp4,1,348.37,360p
ai_seg_18_480p.mp4,1,554.11,480p
ai_seg_18_720p.mp4,1,1211.7,720p
ai_seg_19_1080p.mp4,0,2901.63,1080p
ai_seg_19_360p.mp4,0,622.0,360p
ai_seg_19_480p.mp4,0,922.57,480p
ai_seg_19_720p.mp4,0,1816.66,720p
ai_seg_19_1080p.mp4,1,2202.03,1080p
ai_seg_19_360p.mp4,1,412.76,360p
ai_seg_19_480p.mp4,1,644.32,480p
ai_seg_19_720p.mp4,1,1310.98,720p
ai_seg_20_1080p.mp4,0,2558.49,1080p
ai_seg_20_360p.mp4,0,477.17,360p
ai_seg_20_480p.mp4,0,766.29,480p
ai_seg_20_720p.mp4,0,1534.96,720p
ai_seg_20_1080p.mp4,1,2414.94,1080p
ai_seg_20_360p.mp4,1,354.98,360p
ai_seg_20_480p.mp4,1,663.74,480p
ai_seg_20_720p.mp4,1,1354.46,720p
ai_seg_21_1080p.mp4,0,2763.49,1080p
ai_seg_21_360p.mp4,0,595.54,360p
ai_seg_21_480p.mp4,0,908.63,480p
ai_seg_21_720p.mp4,0,1691.54,720p
ai_seg_21_1080p.mp4,1,2257.55,1080p
ai_seg_21_360p.mp4,1,406.14,360p
ai_seg_21_480p.mp4,1,636.07,480p
ai_seg_21_720p.mp4,1,1245.61,720p
