segment_name,time_second,bitrate_kbps,resolution
ai_seg_1_1080p.mp4,0,3412.92,1080p
ai_seg_1_360p.mp4,0,400.36,360p
ai_seg_1_480p.mp4,0,724.24,480p
ai_seg_1_720p.mp4,0,1696.2,720p
ai_seg_1_1080p.mp4,1,1862.5,1080p
ai_seg_1_360p.mp4,1,222.72,360p
ai_seg_1_480p.mp4,1,382.04,480p
ai_seg_1_720p.mp4,1,646.25,720p
ai_seg_2_1080p.mp4,0,964.2,1080p
ai_seg_2_360p.mp4,0,197.8,360p
ai_seg_2_480p.mp4,0,295.7,480p
ai_seg_2_720p.mp4,0,521.63,720p
ai_seg_2_1080p.mp4,1,664.78,1080p
ai_seg_2_360p.mp4,1,140.02,360p
ai_seg_2_480p.mp4,1,206.56,480p
ai_seg_2_720p.mp4,1,363.65,720p
ai_seg_3_1080p.mp4,0,779.59,1080p
ai_seg_3_360p.mp4,0,189.0,360p
ai_seg_3_480p.mp4,0,277.75,480p
ai_seg_3_720p.mp4,0,469.82,720p
ai_seg_3_1080p.mp4,1,667.13,1080p
ai_seg_3_360p.mp4,1,127.96,360p
ai_seg_3_480p.mp4,1,190.9,480p
ai_seg_3_720p.mp4,1,349.79,720p
ai_seg_4_1080p.mp4,0,929.69,1080p
ai_seg_4_360p.mp4,0,202.78,360p
ai_seg_4_480p.mp4,0,312.64,480p
ai_seg_4_720p.mp4,0,536.29,720p
ai_seg_4_1080p.mp4,1,624.06,1080p
ai_seg_4_360p.mp4,1,127.62,360p
ai_seg_4_480p.mp4,1,188.52,480p
ai_seg_4_720p.mp4,1,338.93,720p
ai_seg_5_1080p.mp4,0,935.14,1080p
ai_seg_5_360p.mp4,0,201.69,360p
ai_seg_5_480p.mp4,0,304.3,480p
ai_seg_5_720p.mp4,0,532.55,720p
ai_seg_5_1080p.mp4,1,647.18,1080p
ai_seg_5_360p.mp4,1,130.81,360p
ai_seg_5_480p.mp4,1,198.54,480p
ai_seg_5_720p.mp4,1,363.93,720p
ai_seg_6_1080p.mp4,0,1717.4,1080p
ai_seg_6_360p.mp4,0,290.14,360p
ai_seg_6_480p.mp4,0,464.06,480p
ai_seg_6_720p.mp4,0,892.22,720p
ai_seg_6_1080p.mp4,1,774.95,1080p
ai_seg_6_360p.mp4,1,123.23,360p
